A1	VAL='종류'
B1	VAL='구분'
C1	VAL='적용대상채권'
D1	VAL='3M'
E1	VAL='6M'
F1	VAL='9M'
G1	VAL='1Y'
H1	VAL='1.5Y'
I1	VAL='2Y'
J1	VAL='2.5Y'
K1	VAL='3Y'
L1	VAL='4Y'
M1	VAL='5Y'
N1	VAL='7Y'
O1	VAL='10Y'
P1	VAL='15Y'
Q1	VAL='20Y'
R1	VAL='30Y'
S1	VAL='50Y'
B2	VAL='국고채권'
C2	VAL='국고채'
D2	VAL=2.422
E2	VAL=2.395
F2	VAL=2.475
G2	VAL=2.55
H2	VAL=2.747
I2	VAL=2.795
J2	VAL=2.982
K2	VAL=2.952
L2	VAL=3.155
M2	VAL=3.235
N2	VAL=3.38
O2	VAL=3.385
P2	VAL=3.42
Q2	VAL=3.347
R2	VAL=3.25
S2	VAL=3.157
A3	VAL='국채'
B3	VAL='국민2종'
C3	VAL='국민2종'
D3	VAL=2.31
E3	VAL=2.288
F3	VAL=2.373
G3	VAL=2.37
H3	VAL=2.554
I3	VAL=2.623
J3	VAL=2.798
K3	VAL=2.863
L3	VAL=2.983
M3	VAL=3.175
N3	VAL=3.353
O3	VAL=3.61
P3	VAL=3.51
Q3	VAL=3.641
R3	VAL='-'
S3	VAL='-'
B4	VAL='국민1종'
C4	VAL='국민1종'
D4	VAL=2.49
E4	VAL=2.476
F4	VAL=2.527
G4	VAL=2.562
H4	VAL=2.752
I4	VAL=2.821
J4	VAL=2.987
K4	VAL=3.038
L4	VAL=3.161
M4	VAL=3.405
N4	VAL='-'
O4	VAL='-'
P4	VAL='-'
Q4	VAL='-'
R4	VAL='-'
S4	VAL='-'
A5	VAL='지방채'
B5	VAL='서울도시철도'
C5	VAL='서울도시'
D5	VAL=2.551
E5	VAL=2.571
F5	VAL=2.635
G5	VAL=2.653
H5	VAL=2.804
I5	VAL=2.905
J5	VAL=3.03
K5	VAL=3.175
L5	VAL=3.274
M5	VAL=3.453
N5	VAL=3.637
O5	VAL='-'
P5	VAL='-'
Q5	VAL='-'
R5	VAL='-'
S5	VAL='-'
B6	VAL='지역개발'
C6	VAL='지역개발'
D6	VAL=2.551
E6	VAL=2.571
F6	VAL=2.635
G6	VAL=2.653
H6	VAL=2.804
I6	VAL=2.915
J6	VAL=3.03
K6	VAL=3.175
L6	VAL=3.274
M6	VAL=3.453
N6	VAL=3.637
O6	VAL=3.863
P6	VAL=3.719
Q6	VAL=3.85
R6	VAL='-'
S6	VAL='-'
C7	VAL='특수AAA'
D7	VAL=2.806
E7	VAL=2.835
F7	VAL=2.853
G7	VAL=2.823
H7	VAL=2.895
I7	VAL=2.992
J7	VAL=3.087
K7	VAL=3.181
L7	VAL=3.276
M7	VAL=3.429
N7	VAL=3.484
O7	VAL=3.6
P7	VAL=3.579
Q7	VAL=3.561
R7	VAL=3.456
S7	VAL='-'
B8	VAL='공사채, 공단채'
C8	VAL='특수AA+'
D8	VAL=2.845
E8	VAL=2.879
F8	VAL=2.917
G8	VAL=2.879
H8	VAL=2.949
I8	VAL=3.064
J8	VAL=3.176
K8	VAL=3.273
L8	VAL=3.374
M8	VAL=3.538
N8	VAL=3.625
O8	VAL=3.789
P8	VAL=3.779
Q8	VAL=3.791
R8	VAL='-'
S8	VAL='-'
A9	VAL='특수채'
C9	VAL='특수AA0'
D9	VAL=2.899
E9	VAL=2.926
F9	VAL=2.978
G9	VAL=2.965
H9	VAL=3.063
I9	VAL=3.18
J9	VAL=3.302
K9	VAL=3.399
L9	VAL=3.505
M9	VAL=3.663
N9	VAL=3.766
O9	VAL=3.931
P9	VAL=3.914
Q9	VAL=3.928
R9	VAL='-'
S9	VAL='-'
C10	VAL='특수AA-'
D10	VAL=3.034
E10	VAL=3.069
F10	VAL=3.137
G10	VAL=3.191
H10	VAL=3.253
I10	VAL=3.4
J10	VAL=3.469
K10	VAL=3.569
L10	VAL=3.656
M10	VAL=3.821
N10	VAL=3.901
O10	VAL=4.054
P10	VAL=4.043
Q10	VAL=4.062
R10	VAL='-'
S10	VAL='-'
B11	VAL='정부보증'
C11	VAL='정부보증'
D11	VAL=2.754
E11	VAL=2.748
F11	VAL=2.766
G11	VAL=2.729
H11	VAL=2.816
I11	VAL=2.912
J11	VAL=3.01
K11	VAL=3.086
L11	VAL=3.188
M11	VAL=3.409
N11	VAL=3.408
O11	VAL=3.521
P11	VAL=3.504
Q11	VAL=3.477
R11	VAL='-'
S11	VAL='-'
B12	VAL='MBS'
C12	VAL='MBS'
D12	VAL=2.767
E12	VAL=2.83
F12	VAL=2.864
G12	VAL=2.873
H12	VAL=2.965
I12	VAL=3.139
J12	VAL=3.214
K12	VAL=3.311
L12	VAL=3.402
M12	VAL=3.553
N12	VAL=3.597
O12	VAL=3.742
P12	VAL=3.693
Q12	VAL=3.675
R12	VAL=3.549
S12	VAL='-'
A13	VAL='통안증권'
B13	VAL='통안증권'
C13	VAL='통안증권'
D13	VAL=2.425
E13	VAL=2.417
F13	VAL=2.455
G13	VAL=2.512
H13	VAL=2.687
I13	VAL=2.83
J13	VAL=2.877
K13	VAL=3.007
L13	VAL='-'
M13	VAL='-'
N13	VAL='-'
O13	VAL='-'
P13	VAL='-'
Q13	VAL='-'
R13	VAL='-'
S13	VAL='-'
C14	VAL='산금채'
D14	VAL=2.779
E14	VAL=2.808
F14	VAL=2.798
G14	VAL=2.789
H14	VAL=2.856
I14	VAL=2.936
J14	VAL=3.029
K14	VAL=3.129
L14	VAL=3.213
M14	VAL=3.424
N14	VAL=3.421
O14	VAL=3.779
P14	VAL=3.897
Q14	VAL=3.994
R14	VAL='-'
S14	VAL='-'
C15	VAL='AAA (중금채)'
D15	VAL=2.779
E15	VAL=2.808
F15	VAL=2.798
G15	VAL=2.789
H15	VAL=2.856
I15	VAL=2.936
J15	VAL=3.029
K15	VAL=3.129
L15	VAL=3.213
M15	VAL=3.424
N15	VAL=3.446
O15	VAL=3.805
P15	VAL=3.923
Q15	VAL=4.026
R15	VAL='-'
S15	VAL='-'
C16	VAL='은행AAA'
D16	VAL=2.808
E16	VAL=2.835
F16	VAL=2.83
G16	VAL=2.822
H16	VAL=2.899
I16	VAL=2.979
J16	VAL=3.09
K16	VAL=3.212
L16	VAL=3.304
M16	VAL=3.491
N16	VAL=3.545
O16	VAL=3.877
P16	VAL=3.991
Q16	VAL=4.092
R16	VAL='-'
S16	VAL='-'
C17	VAL='은행AA+'
D17	VAL=2.826
E17	VAL=2.856
F17	VAL=2.867
G17	VAL=2.878
H17	VAL=2.991
I17	VAL=3.064
J17	VAL=3.18
K17	VAL=3.296
L17	VAL=3.375
M17	VAL=3.625
N17	VAL=3.615
O17	VAL=3.958
P17	VAL=4.163
Q17	VAL=4.295
R17	VAL='-'
S17	VAL='-'
A18	VAL='금융채Ⅰ'
B18	VAL='은행채'
C18	VAL='은행AA0'
D18	VAL=2.98
